player_hand,dealer_upcard,result
QH-QC,5D,0
5H-5C,9D,0
AH-AD,JS,1
10C-10H,KC,0
10H-10D,QS,0
KC-KS,AD,0
10S-10D,2H,0
3D-3C,7S,1
8D-8H,7H,1
8D-8S,7H,1
2S-2D,6S,1
2H-2S,4H,1
JC-JD,10C,0
4S-4H,QC,0
2H-2D,7S,1
AH-AC,9S,1
3D-3H,3C,1
10C-10D,QD,0
7D-7H,8S,0
6C-6H,7S,0
9D-9S,10C,0
7S-7H,9S,0
QC-QD,2C,0
2H-2C,AS,0
9H-9D,JH,0
JD-JS,KH,0
9C-9D,9H,1
5D-5H,8S,0
5S-5C,9H,0
6C-6D,2S,1
4S-4C,2D,0
10S-10C,2D,0
JH-JC,8S,0
KC-KD,9H,0
10D-10S,6S,0
2H-2S,2D,1
9S-9C,3D,1
7C-7S,2H,1
7C-7D,2H,1
3C-3D,AH,0
8S-8H,7H,1
10S-10C,JD,0
3S-3D,8H,0
QD-QS,9S,0
6C-6D,6S,1
AS-AD,KD,1
2D-2C,7C,1
2C-2S,7C,1
JH-JD,QD,0
5D-5C,JD,0
5S-5D,AH,0
10S-10H,2C,0
JC-JD,KD,0
2D-2S,8S,0
JC-JS,8C,0
KH-KS,5H,0
9H-9S,7S,0
2H-2S,QH,0
2S-2H,6H,1
6C-6H,10H,0
8C-8D,7C,1
6H-6D,4S,1
QS-QH,6H,0
AH-AS,4H,1
2S-2H,10H,0
AC-AH,4S,1
9H-9C,5D,1
10D-10H,3H,0
6C-6S,3C,1
5H-5C,4H,0
7C-7S,QS,0
4H-4S,KH,0
KC-KD,3D,0
3C-3D,3S,1
6S-6C,7D,0
7D-7S,JD,0
3S-3H,3C,1
AS-AH,4D,1
3C-3H,6C,1
AD-AC,5C,1
3D-3C,2D,1
7H-7C,KD,0
5H-5D,KD,0
AS-AC,10C,1
4S-4C,QS,0
8C-8H,3C,1
7D-7S,3S,1
8C-8D,8H,1
9S-9H,3S,1
9S-9D,3S,1
5S-5H,JC,0
KD-KC,JH,0
9C-9S,JC,0
8S-8H,10H,1
10D-10C,9H,0
KC-KD,2C,0
10H-10S,2C,0
2D-2H,QC,0
JD-JC,6H,0
JH-JS,KS,0
4D-4S,AH,0
8C-8S,6D,1
5C-5D,6H,0
JH-JS,5H,0
KD-KC,9D,0
3H-3S,2D,1
6S-6D,2C,1
QS-QH,6C,0
QS-QD,5C,0
7S-7C,10H,0
QC-QH,4S,0
KC-KD,10C,0
8C-8S,JS,1
4D-4C,AH,0
10C-10S,5D,0
QS-QC,QH,0
3H-3D,5C,1
7H-7S,8S,0
AD-AC,9S,1
QH-QS,9H,0
5D-5H,6H,0
9C-9D,10S,0
QH-QS,AH,0
8C-8D,JS,1
5C-5H,AC,0
10C-10S,5S,0
8D-8H,9S,1
10H-10C,10D,0
3S-3D,4S,1
KD-KH,2D,0
QC-QD,KS,0
3D-3S,7H,1
3H-3S,9H,0
10D-10S,9S,0
2D-2S,QC,0
QC-QH,7H,0
6H-6S,2S,1
7C-7H,AD,0
10S-10C,AS,0
7S-7C,QD,0
3H-3C,5D,1
2D-2S,8C,0
5D-5C,2C,0
AH-AC,7S,1
5C-5D,8S,0
4S-4C,5S,1
4S-4C,2D,0
10D-10S,KD,0
JC-JH,AS,0
7H-7S,10S,0
4C-4D,3C,0
10S-10C,KS,0
AC-AH,5H,1
JH-JS,9H,0
QS-QC,KC,0
QS-QH,9S,0
6H-6C,9C,0
5S-5H,6S,0
5S-5D,3H,0
JD-JC,4D,0
KH-KS,8H,0
QH-QS,8H,0
QS-QH,3D,0
3D-3S,AS,0
9H-9D,JS,0
3H-3D,QH,0
3S-3C,4S,1
9C-9D,6C,1
7D-7H,10C,0
4S-4D,2D,0
3C-3D,4C,1
9S-9H,JC,0
JC-JD,9C,0
10S-10H,JS,0
6S-6C,9H,0
2S-2D,7H,1
10S-10H,4H,0
10C-10H,4H,0
4D-4S,2S,0
5H-5D,4S,0
5H-5S,8D,0
JS-JH,8D,0
2D-2C,7C,1
8C-8D,JH,1
7S-7D,7C,1
10S-10D,4S,0
JS-JC,6D,0
KS-KD,2D,0
6D-6H,4D,1
KC-KD,QD,0
10D-10H,9H,0
KS-KD,10D,0
6H-6S,4C,1
8C-8D,10H,1
8D-8H,10H,1
7H-7C,8H,0
QD-QC,3D,0
5C-5D,3C,0
9S-9D,2H,1
6H-6C,10H,0
10S-10D,KS,0
2H-2S,QC,0
6D-6C,8D,0
5H-5S,9D,0
7D-7S,QH,0
6C-6S,JD,0
3D-3S,8H,0
7C-7S,2C,1
KC-KD,6C,0
4H-4S,7D,0
QD-QC,3D,0
KC-KS,2H,0
KH-KS,JH,0
8H-8D,8C,1
JC-JS,6D,0
8D-8S,3D,1
JH-JC,2D,0
7C-7H,4S,1
7H-7S,5S,1
8S-8H,7H,1
KD-KS,3H,0
3S-3C,JS,0
3D-3H,QH,0
JD-JH,5H,0
3D-3S,KD,0
QS-QD,KD,0
8H-8D,QC,1
4D-4S,10H,0
3H-3D,4H,1
6D-6C,6S,1
9C-9S,5C,1
KD-KH,9H,0
3H-3S,AH,0
7D-7S,3C,1
8D-8C,7S,1
8C-8H,7S,1
4H-4D,JD,0
KH-KD,5C,0
5S-5H,AC,0
JD-JC,2D,0
8H-8D,2S,1
6D-6H,QS,0
JH-JC,QC,0
4H-4S,3S,0
7H-7C,6C,1
2H-2S,JC,0
3C-3H,2C,1
KH-KD,QS,0
7S-7C,6S,1
5H-5C,8H,0
8C-8S,9S,1
8C-8H,9S,1
KC-KD,5H,0
2H-2S,3C,1
10D-10C,AS,0
2S-2D,7D,1
9H-9S,4S,1
9S-9D,4S,1
6D-6C,3D,1
5H-5D,QS,0
7H-7D,QD,0
2H-2C,10D,0
2H-2S,3C,1
4S-4H,6D,1
8H-8C,8D,1
4H-4D,AD,0
6D-6C,JS,0
3S-3H,6C,1
7H-7S,3S,1
AS-AH,8S,1
9S-9D,10D,0
QH-QD,7D,0
QS-QH,5H,0
KD-KC,AS,0
3H-3D,5D,1
3S-3C,3D,1
3C-3S,6D,1
3H-3D,6H,1
3H-3C,6H,1
6D-6S,5D,1
6H-6S,4H,1
9S-9C,3D,1
9S-9D,QC,0
6D-6C,7H,0
6H-6D,8D,0
10D-10C,9S,0
9H-9S,AC,0
QD-QH,4H,0
5S-5H,3H,0
10H-10S,5H,0
9H-9S,QH,0
10D-10H,6S,0
5S-5D,QS,0
5H-5S,5D,0
AD-AC,6C,1
10C-10D,JD,0
8C-8S,KD,1
3S-3H,4D,1
AD-AC,QH,1
4D-4S,7D,0
5H-5S,4H,0
AS-AH,7C,1
7D-7C,6H,1
4S-4C,3D,0
5H-5S,6H,0
5D-5C,KH,0
KS-KD,5D,0
7S-7D,9D,0
10D-10S,7H,0
7C-7H,3S,1
3H-3D,6D,1
5S-5C,2S,0
KS-KH,QC,0
4D-4H,8C,0
QH-QS,3C,0
4C-4H,8C,0
7D-7S,8C,0
9D-9C,JH,0
10H-10D,QS,0
4H-4D,7C,0
4D-4S,2C,0
AH-AD,2S,1
QS-QH,7D,0
6H-6S,5C,1
6H-6C,5C,1
10C-10S,JH,0
9S-9H,2H,1
9H-9C,2H,1
5D-5H,2D,0
2H-2D,2S,1
JC-JS,3D,0
3S-3C,JC,0
2S-2C,KH,0
AD-AH,8S,1
7H-7S,4D,1
8D-8C,10H,1
JS-JC,4S,0
AD-AH,7H,1
3H-3D,QH,0
7S-7H,7D,1
6S-6C,5D,1
5S-5H,KD,0
8D-8C,8S,1
AS-AH,9S,1
6C-6H,3S,1
6D-6S,JH,0
2C-2D,QH,0
JC-JD,4H,0
AC-AH,7H,1
KD-KS,10S,0
2C-2S,5H,1
7C-7S,JH,0
9S-9H,10S,0
4C-4S,KC,0
2H-2S,3S,1
AC-AH,2D,1
4H-4D,5H,1
QH-QS,QC,0
9C-9H,3C,1
3S-3C,7D,1
9H-9C,JC,0
6D-6S,JD,0
JD-JC,8C,0
4S-4D,7D,0
10S-10H,8S,0
5H-5S,9H,0
3D-3C,5D,1
QD-QC,9D,0
5D-5S,KC,0
AD-AS,3S,1
AS-AD,2H,1
3D-3C,2S,1
3D-3S,2S,1
7C-7H,3S,1
JD-JC,3S,0
4C-4S,8D,0
7C-7H,9S,0
AD-AC,5H,1
KS-KH,4D,0
10C-10D,JD,0
QH-QS,6D,0
6S-6H,2H,1
8S-8D,7D,1
QC-QD,8C,0
3H-3D,10H,0
KH-KS,6S,0
3C-3D,3H,1
3S-3D,QD,0
3S-3C,8H,0
4H-4S,4C,0
10S-10H,3D,0
10D-10C,3C,0
6H-6D,5C,1
AH-AS,6C,1
9H-9D,8S,1
9D-9S,8S,1
6H-6C,3C,1
5H-5D,4C,0
JS-JH,4D,0
5H-5S,KD,0
QD-QS,5H,0
2C-2H,9H,0
5S-5C,9D,0
QD-QC,JC,0
KH-KS,7H,0
4C-4D,8D,0
10C-10H,6H,0
KS-KH,JC,0
JD-JH,3D,0
AC-AH,10D,1
10C-10H,QC,0
2S-2D,3D,1
4H-4C,8C,0
QH-QS,8D,0
6D-6H,2H,1
3C-3S,9C,0
6D-6H,10S,0
KD-KC,KH,0
QC-QH,2C,0
4D-4S,2D,0
5S-5H,2H,0
9C-9H,3D,1
KD-KH,10H,0
AS-AC,4C,1
8H-8C,KD,1
JD-JH,10H,0
6D-6C,10D,0
6D-6S,2H,1
4D-4C,9H,0
2H-2D,9C,0
7C-7D,KS,0
KH-KD,5D,0
QD-QS,AS,0
3H-3D,KS,0
7H-7D,2H,1
3H-3S,6C,1
2H-2D,9C,0
8D-8C,JH,1
9D-9S,6D,1
6D-6C,2H,1
KC-KD,4D,0
8H-8S,10H,1
QD-QS,JC,0
9S-9H,4D,1
7D-7C,JS,0
KC-KH,JS,0
9H-9D,6C,1
3S-3D,AH,0
8S-8D,2D,1
JD-JH,4D,0
7D-7S,6D,1
8C-8S,7C,1
5H-5D,3D,0
QD-QS,4S,0
5S-5C,8S,0
QS-QD,JH,0
KS-KD,4S,0
QD-QC,8H,0
7S-7H,5H,1
7H-7C,5H,1
2H-2S,JH,0
7H-7S,QC,0
AC-AD,KS,1
AC-AS,QC,1
3S-3C,JH,0
3S-3H,2S,1
JD-JS,QC,0
5S-5C,8C,0
7D-7C,5C,1
7C-7S,5C,1
QS-QH,4H,0
3H-3S,JH,0
3C-3H,2H,1
QC-QD,10H,0
JS-JD,8D,0
10S-10D,QH,0
2S-2C,5H,1
2S-2H,5H,1
4C-4S,7H,0
2C-2H,8H,0
AH-AC,KH,1
JS-JC,7C,0
KS-KC,4H,0
7S-7C,AD,0
2S-2H,3H,1
4D-4H,QH,0
9C-9H,KH,0
QD-QH,8C,0
3S-3C,5H,1
6S-6D,AS,0
2D-2H,4C,1
7H-7S,KH,0
JH-JD,3H,0
10H-10C,4C,0
8C-8S,KH,1
KD-KC,6D,0
3S-3H,8C,0
4C-4S,10D,0
7D-7C,10D,0
2C-2H,JC,0
4C-4D,3C,0
4C-4D,QS,0
KS-KH,8H,0
JS-JD,JC,0
8D-8C,5C,1
7C-7S,3C,1
2C-2D,7D,1
7H-7C,3S,1
JC-JD,KH,0
8S-8C,7D,1
3C-3S,AH,0
3H-3D,KC,0
6H-6D,2D,1
9S-9C,7H,0
10S-10C,QS,0
5C-5H,QC,0
JH-JC,2C,0
4H-4S,2H,0
QC-QD,3S,0
AH-AD,5C,1
JC-JS,3D,0
JC-JD,4D,0
QH-QS,6C,0
9D-9C,6S,1
9H-9C,2C,1
9D-9H,3H,1
QD-QH,3D,0
JD-JH,QH,0
3S-3D,6H,1
3D-3H,6H,1
KD-KS,2C,0
8S-8C,3C,1
2D-2S,7C,1
2C-2H,KH,0
AH-AS,4H,1
7S-7H,6H,1
4H-4C,5D,1
4H-4D,5D,1
3C-3S,8S,0
QD-QS,3H,0
JH-JS,JC,0
6H-6S,2C,1
KC-KS,2D,0
2D-2H,7H,1
4D-4C,3C,0
8S-8D,AH,1
JD-JC,QC,0
8H-8S,8C,1
AD-AC,7C,1
JS-JD,10D,0
5D-5S,6C,0
QS-QD,5H,0
KC-KD,QS,0
10S-10H,4D,0
AD-AS,9C,1
2C-2S,7H,1
8C-8S,3C,1
9C-9H,5S,1
8S-8D,6C,1
JC-JH,QC,0
4C-4H,4D,0
6S-6C,8H,0
5C-5H,AS,0
5C-5H,9S,0
AH-AD,QD,1
4H-4S,8H,0
3D-3S,9D,0
5D-5S,4D,0
4S-4H,5D,1
KH-KS,9C,0
KC-KD,5D,0
4H-4S,6H,1
4C-4H,3D,0
4S-4H,2H,0
KS-KD,3C,0
3H-3D,7C,1
QC-QH,AS,0
6S-6H,KH,0
8S-8D,4D,1
3C-3H,6H,1
3H-3D,6H,1
5H-5D,5C,0
6H-6D,2S,1
3C-3S,4C,1
QH-QS,AS,0
QH-QD,7D,0
6H-6C,5S,1
JD-JH,QS,0
QS-QH,10H,0
5H-5S,8C,0
5H-5S,9D,0
KC-KH,6H,0
3D-3C,JD,0
7H-7C,JC,0
10C-10H,8H,0
2D-2C,10H,0
3S-3D,8C,0
JS-JH,KC,0
10C-10D,5D,0
5C-5D,QH,0
JH-JS,7S,0
QC-QD,2S,0
JD-JS,10H,0
8H-8C,AC,1
5S-5D,3H,0
QH-QS,6S,0
7S-7H,JD,0
8D-8H,KS,1
QH-QS,8C,0
3H-3D,10C,0
5H-5C,AD,0
9H-9D,9S,1
QH-QS,KD,0
AS-AD,7C,1
9H-9S,7C,0
10S-10H,7D,0
4C-4D,5D,1
2S-2C,AC,0
4D-4C,5D,1
10D-10S,10H,0
10D-10H,QC,0
KD-KS,3C,0
AC-AS,5C,1
8H-8D,4D,1
QD-QC,4D,0
3C-3D,8C,0
8H-8S,4H,1
2C-2D,4C,1
JH-JD,9S,0
2C-2S,KH,0
9D-9S,KS,0
7S-7D,JS,0
10D-10S,9C,0
5C-5H,QH,0
10H-10D,5S,0
7S-7D,6S,1
9C-9S,4D,1
QH-QD,KS,0
10H-10S,8C,0
6H-6C,QH,0
10C-10D,2H,0
QD-QC,QH,0
AS-AH,JS,1
KD-KS,8D,0
2D-2C,QS,0
6D-6C,8H,0
3S-3D,5S,1
7S-7D,5H,1
10S-10D,10C,0
KD-KH,9S,0
4H-4S,8H,0
JD-JS,KS,0
KD-KH,6D,0
3C-3D,2H,1
2H-2C,AD,0
KS-KD,QS,0
10C-10H,6S,0
9D-9H,AS,0
4S-4D,QD,0
6S-6H,3C,1
6S-6D,3C,1
6C-6H,5C,1
10H-10S,7S,0
KS-KC,QD,0
4S-4C,2D,0
JS-JH,7H,0
8H-8D,KH,1
3D-3H,JC,0
AS-AC,9H,1
7D-7C,9S,0
AC-AS,AH,1
KH-KC,JH,0
3D-3C,KH,0
QH-QD,6D,0
JH-JD,5S,0
KH-KD,6H,0
10S-10D,10H,0
7H-7D,QC,0
10D-10H,5S,0
3D-3C,9C,0
9C-9S,8C,1
7C-7H,7S,1
6H-6S,10D,0
9D-9S,QC,0
8C-8H,4H,1
3C-3D,QC,0
QS-QH,2H,0
AC-AH,10C,1
9S-9H,9D,1
9S-9C,9D,1
JH-JD,8D,0
3C-3H,6C,1
7S-7C,AS,0
6S-6H,JD,0
6H-6S,AS,0
AH-AD,5C,1
7S-7H,KH,0
9S-9D,AC,0
AH-AC,3H,1
KC-KH,7C,0
2S-2H,QD,0
AS-AD,7C,1
10C-10S,AD,0
10S-10C,QS,0
8C-8S,9C,1
AH-AS,JH,1
3H-3C,2H,1
QH-QD,9H,0
QH-QD,8H,0
AS-AC,QS,1
KD-KH,KC,0
QD-QH,10C,0
5H-5C,2C,0
10C-10S,7H,0
3H-3S,QC,0
7D-7C,KD,0
5H-5D,4D,0
2C-2D,3C,1
5S-5C,4D,0
9H-9D,AC,0
2D-2H,10H,0
5D-5H,5C,0
5S-5H,7S,0
2H-2C,5S,1
9D-9C,8D,1
JC-JH,AD,0
KC-KH,4S,0
5C-5H,KD,0
2S-2D,5H,1
9H-9D,8D,1
JC-JD,3C,0
6H-6C,8H,0
JH-JS,10H,0
3H-3D,AS,0
JD-JS,7C,0
10H-10C,7C,0
QD-QC,3S,0
8D-8H,7D,1
10D-10C,QC,0
10S-10H,AC,0
JH-JC,10S,0
AS-AH,8S,1
7H-7D,8C,0
5H-5S,2C,0
QD-QC,7D,0
9C-9D,6H,1
9C-9D,JH,0
10H-10S,8S,0
6C-6D,8D,0
AH-AD,KH,1
8C-8H,2H,1
QC-QH,6S,0
KD-KS,JH,0
6C-6S,9D,0
QH-QC,2C,0
JD-JC,QD,0
KD-KC,KH,0
10D-10H,10S,0
8S-8H,AS,1
3C-3S,4D,1
9C-9D,4H,1
9S-9C,JC,0
6H-6C,8S,0
4H-4S,QC,0
QD-QC,4D,0
8H-8S,JD,1
9D-9S,QC,0
2C-2H,6H,1
4H-4C,8S,0
5H-5C,10D,0
KS-KH,8C,0
7D-7S,10C,0
7S-7H,KS,0
3C-3D,2D,1
AC-AD,6C,1
AC-AH,6C,1
JD-JS,5H,0
6C-6S,JC,0
6C-6D,AD,0
3C-3S,QD,0
4S-4C,5D,1
8D-8H,4H,1
2S-2H,8C,0
6D-6H,3S,1
7C-7H,7D,1
8D-8H,QH,1
6H-6C,AS,0
7S-7C,9H,0
6D-6S,6H,1
5S-5D,4D,0
AS-AC,9H,1
JC-JS,7C,0
QS-QH,QC,0
10H-10C,3H,0
QC-QH,JC,0
5S-5D,2C,0
QS-QH,KH,0
AS-AD,4D,1
10H-10S,JS,0
4S-4C,7S,0
10H-10C,6C,0
KH-KS,6H,0
10S-10H,3S,0
8D-8S,3C,1
8D-8C,3C,1
5H-5D,4H,0
4H-4C,JS,0
7D-7C,9H,0
5S-5H,7H,0
9D-9C,10H,0
9C-9H,AC,0
QD-QH,KS,0
2D-2S,10H,0
7S-7D,QC,0
KD-KC,JS,0
6H-6D,10S,0
JC-JH,8D,0
AC-AH,9D,1
QH-QC,2H,0
KS-KC,JS,0
6C-6H,QH,0
7D-7S,10C,0
KD-KS,5D,0
AC-AS,3H,1
9D-9H,AS,0
10D-10S,6H,0
AH-AS,2C,1
AS-AD,AH,1
5S-5H,8D,0
3S-3H,JC,0
4C-4H,3C,0
2C-2D,KH,0
10H-10D,AD,0
2S-2H,QS,0
9D-9H,2D,1
3S-3D,QC,0
9C-9D,KC,0
7C-7S,KC,0
8H-8D,JS,1
5H-5D,KC,0
7D-7S,8S,0
JH-JD,10D,0
9C-9H,2C,1
2C-2D,5S,1
5D-5H,7D,0
5C-5S,9S,0
KH-KC,9C,0
4H-4D,KD,0
5S-5D,8H,0
JD-JC,10D,0
2S-2D,8H,0
8H-8S,4D,1
10S-10C,KS,0
10D-10H,7S,0
KC-KD,JS,0
3D-3C,JD,0
AH-AS,10D,1
6D-6C,9C,0
KD-KC,6S,0
3H-3D,QC,0
AC-AH,3H,1
6H-6D,KD,0
JS-JC,5C,0
QS-QH,4S,0
6H-6S,4C,1
3D-3S,10C,0
7S-7D,5C,1
AD-AH,KH,1
KC-KS,4S,0
JC-JD,9D,0
QC-QD,10C,0
AH-AC,10C,1
5D-5C,QD,0
2D-2C,AS,0
JC-JS,7D,0
7S-7H,QH,0
QC-QH,AC,0
7D-7S,4C,1
3C-3H,QS,0
JD-JC,KC,0
2D-2C,6H,1
QD-QH,3S,0
QC-QD,7H,0
QD-QS,4S,0
10D-10S,8H,0
10S-10H,JC,0
KD-KH,10H,0
4D-4S,6C,1
9C-9H,10S,0
3H-3S,JS,0
10D-10H,4S,0
QD-QC,7D,0
4D-4S,JC,0
3H-3C,9S,0
5H-5C,QS,0
2S-2D,JD,0
7S-7D,3D,1
6C-6H,4H,1
AS-AC,2C,1
JD-JS,3D,0
10C-10S,6H,0
AH-AC,2C,1
QD-QC,2D,0
9S-9D,8S,1
6S-6C,10D,0
9S-9H,10C,0
5S-5C,4H,0
AH-AD,5S,1
3H-3D,4S,1
4H-4C,KC,0
2S-2C,9S,0
KC-KD,AH,0
KH-KD,QH,0
AH-AS,6S,1
9C-9H,3C,1
QD-QH,3H,0
2C-2D,AC,0
6S-6H,AC,0
10D-10H,3H,0
AH-AD,3H,1
2S-2H,QS,0
3S-3H,9S,0
7D-7S,10H,0
4H-4C,5S,1
4C-4S,8D,0
7H-7D,3C,1
2D-2H,5S,1
2S-2D,10S,0
5C-5S,5H,0
QC-QS,2H,0
KS-KH,AD,0
3S-3C,10C,0
QD-QS,JS,0
JH-JC,10C,0
4S-4C,QC,0
2S-2D,6D,1
6S-6C,10C,0
9H-9C,KH,0
AH-AD,2D,1
AS-AC,QD,1
3H-3S,2S,1
8H-8C,JD,1
3D-3C,6D,1
JD-JC,9S,0
3D-3S,3C,1
2D-2S,KD,0
JC-JD,3S,0
AH-AC,5C,1
9H-9D,7S,0
6S-6C,2C,1
4S-4D,QC,0
9C-9H,10H,0
2C-2H,6S,1
QC-QS,10S,0
6H-6C,9C,0
4C-4D,10C,0
7H-7D,10H,0
9S-9H,2S,1
JH-JC,5S,0
AH-AD,5S,1
8C-8H,3S,1
4D-4C,9H,0
7S-7H,JD,0
9D-9H,AD,0
10C-10S,4S,0
3S-3H,9S,0
3C-3S,KH,0
3C-3S,4S,1
2S-2D,2H,1
KC-KH,KD,0
9C-9S,7D,0
10H-10S,8S,0
7D-7C,4H,1
AH-AD,6S,1
3D-3C,QC,0
KC-KH,10D,0
2H-2C,3H,1
9C-9H,4C,1
9C-9D,4C,1
5D-5S,8C,0
4C-4H,5S,1
2S-2D,10H,0
AH-AS,10H,1
2S-2D,6S,1
7C-7S,8D,0
3H-3D,QH,0
2S-2H,JC,0
KD-KH,8D,0
KD-KH,5S,0
JD-JS,KD,0
QH-QC,3D,0
7C-7S,8D,0
5H-5S,3H,0
2S-2D,2H,1
7D-7S,6D,1
6C-6D,4H,1
10D-10S,7D,0
9D-9H,5H,1
9D-9S,AD,0
6S-6D,2H,1
7C-7S,QH,0
2C-2S,10H,0
5C-5D,10C,0
4C-4D,3S,0
3D-3S,8H,0
6H-6C,8D,0
4D-4H,4C,0
JS-JC,6H,0
KH-KS,7D,0
8C-8D,4S,1
2C-2S,JH,0
10C-10H,QD,0
6D-6S,3C,1
4S-4D,8C,0
8S-8C,KH,1
4C-4H,3D,0
6S-6H,8S,0
7D-7H,JH,0
10H-10D,KS,0
3H-3S,JS,0
6C-6S,QC,0
JS-JH,2H,0
7S-7H,10C,0
KH-KC,4H,0
10H-10C,3S,0
JC-JD,JS,0
3H-3S,4S,1
4D-4H,8C,0
JS-JH,10H,0
9C-9S,7H,0
2D-2S,7D,1
9C-9H,4D,1
JD-JC,9D,0
JS-JD,8C,0
8C-8H,10S,1
3S-3D,9H,0
8C-8S,8H,1
JC-JD,KC,0
3S-3H,4C,1
8H-8S,9S,1
2H-2C,KH,0
3D-3C,8S,0
AH-AS,10C,1
2H-2C,8S,0
5C-5D,10C,0
8S-8C,7H,1
9H-9C,5D,1
9H-9D,5D,1
3H-3D,AH,0
KH-KD,9S,0
3H-3S,QH,0
6C-6H,AD,0
JD-JH,QC,0
6D-6H,2H,1
KS-KC,6D,0
AH-AD,2H,1
KC-KS,JD,0
JC-JS,AD,0
2H-2C,KS,0
2D-2S,KC,0
5H-5C,JH,0
3D-3C,7H,1
7H-7S,10D,0
9S-9D,AC,0
3D-3C,8H,0
4C-4H,KS,0
AD-AS,QD,1
2H-2C,6S,1
5C-5D,2H,0
4S-4H,9S,0
4C-4H,3D,0
QS-QD,5H,0
7H-7D,QD,0
7C-7D,3H,1
7D-7C,2D,1
4C-4D,2C,0
7C-7D,3S,1
3H-3C,2H,1
3S-3D,5S,1
4H-4C,JC,0
5S-5H,KS,0
5S-5C,10H,0
8S-8C,AC,1
2D-2C,3H,1
2H-2S,7H,1
QS-QD,AH,0
5S-5D,5H,0
QC-QS,2H,0
AD-AS,3D,1
3D-3H,KH,0
6H-6S,5S,1
8H-8D,JS,1
AH-AC,5S,1
8C-8S,QS,1
7C-7H,3H,1
7C-7S,3H,1
8C-8S,JC,1
2H-2D,7H,1
10C-10D,9C,0
QD-QC,KD,0
AC-AS,7D,1
9C-9H,6D,1
KH-KC,9S,0
9S-9H,10C,0
6D-6C,7H,0
6D-6S,AH,0
QS-QD,5D,0
JH-JD,10H,0
AC-AS,10H,1
JS-JH,6D,0
5D-5S,3S,0
AS-AC,QS,1
KS-KH,JC,0
AH-AD,5C,1
2H-2D,QC,0
AC-AH,7D,1
QD-QC,6C,0
AD-AC,10H,1
AC-AS,QC,1
7D-7S,KS,0
7D-7H,5S,1
JS-JD,6D,0
KS-KC,2H,0
JS-JH,8C,0
QD-QC,8D,0
9D-9C,6S,1
JS-JH,6H,0
4D-4C,9H,0
3D-3C,3S,1
3D-3H,3S,1
QH-QC,JS,0
9H-9D,6H,1
8D-8H,2C,1
3S-3H,AH,0
6H-6D,9H,0
4D-4S,6H,1
9C-9H,JH,0
AC-AD,10S,1
AH-AD,QS,1
AH-AS,2C,1
JH-JC,10C,0
9C-9D,KD,0
JC-JD,8D,0
QD-QC,5H,0
10H-10D,10S,0
8D-8S,10H,1
3H-3D,2D,1
4H-4C,7H,0
KC-KS,3C,0
10D-10S,3H,0
QH-QS,9C,0
6C-6S,7S,0
JC-JS,7C,0
8C-8H,7D,1
QS-QC,6S,0
9C-9S,KC,0
KH-KS,9C,0
6S-6D,3H,1
9H-9D,JS,0
AH-AS,KC,1
2S-2H,JH,0
9H-9D,10C,0
AC-AS,QD,1
5D-5C,10C,0
4H-4C,6S,1
6H-6S,6C,1
6C-6H,2C,1
4C-4S,2D,0
5D-5S,2S,0
10S-10C,8D,0
10S-10D,AH,0
QD-QC,QS,0
AS-AC,4D,1
KH-KC,9C,0
QS-QD,QH,0
QS-QC,6H,0
5H-5S,7S,0
JD-JS,8C,0
9S-9C,5C,1
9C-9H,9S,1
2S-2H,2C,1
JH-JD,QD,0
6C-6D,3S,1
2S-2D,KH,0
8S-8D,9C,1
7D-7C,6C,1
7D-7H,6C,1
7D-7S,6C,1
4H-4C,8S,0
6S-6C,4D,1
QC-QD,10H,0
3H-3D,6C,1
3D-3C,6C,1
2H-2S,4D,1
JS-JH,8C,0
3C-3H,10C,0
10S-10D,10H,0
6D-6H,4S,1
7C-7S,4D,1
5S-5C,JD,0
KC-KS,4H,0
2H-2S,JS,0
7C-7S,QH,0
9D-9H,QD,0
10S-10H,5S,0
10H-10D,4D,0
4D-4H,8S,0
6H-6D,8H,0
8H-8D,2C,1
10C-10D,2D,0
QH-QC,QS,0
AC-AD,10S,1
8C-8D,JH,1
8H-8S,QH,1
2D-2H,QC,0
KS-KD,3C,0
AS-AD,QC,1
JS-JC,7D,0
7H-7D,4S,1
6S-6H,7D,0
5C-5S,4H,0
7C-7D,AS,0
KC-KD,5H,0
8D-8S,JS,1
8C-8H,KC,1
2S-2D,9S,0
KS-KH,4H,0
KH-KD,5H,0
10D-10C,3C,0
6C-6H,3H,1
10D-10S,QS,0
8C-8S,5H,1
7D-7S,9C,0
7C-7S,2S,1
3S-3C,KC,0
AS-AH,5S,1
QS-QH,8D,0
5C-5H,JH,0
3S-3C,QD,0
AC-AH,QD,1
8H-8S,9D,1
2H-2C,6D,1
KC-KS,AS,0
JH-JS,10H,0
4H-4C,6D,1
10H-10D,7D,0
10C-10D,JH,0
QD-QC,8S,0
AH-AS,QD,1
6S-6H,7S,0
6S-6C,5C,1
9D-9C,4C,1
9C-9S,4D,1
9C-9H,10S,0
JH-JC,KS,0
10D-10S,AS,0
JS-JC,7C,0
5C-5H,8C,0
4D-4H,KS,0
4D-4C,8H,0
4H-4C,6C,1
JD-JH,3C,0
QS-QD,8H,0
JC-JS,6H,0
6C-6H,9C,0
4C-4D,8S,0
4C-4D,10D,0
JD-JC,3C,0
2D-2H,7C,1
3C-3S,8S,0
QD-QH,9H,0
